has360,propertyType,topNewDevelopment,hasPlan,size,thumbnail,has3DTour,hasVideo,rooms,exterior,price,priceByArea,labels,bathrooms,country,description,operation,municipality,topPlus,url,longitude,showAddress,numPhotos,floor,hasLift,hasStaging,propertyCode,province,detailedType,newDevelopmentFinished,newDevelopment,latitude,suggestedTexts,externalReference,highlight,status,parkingSpace,address
False,chalet,False,True,360.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d9/1c/4a/1194770712.jpg,True,True,4,nan,690000.0,1917.0,nan,3,es,"Corner townhouse, with MANY IMPROVEMENTS with respect to how they were delivered originally. The SPA, is one of them, located on floor -1, consists of Sauna, Turkish Bath, Jacuzzi 6pax and a bithermal shower with hydromassage and sequences of temperature changes. The outdoor pool in the garden also has SPA elements, such as a waterfall jet, perfect for shoulder, neck and back massages, as well as having a six-seater Jacuzzi and being heated. Being a corner villa, the garden is in ""L"": Front and side. The house is fully air-conditioned with air conditioning with heat pump. Zoned home automation for the automatic opening of blinds in addition to the alarm. COMMON AREAS: In addition to the private pool, this property has a communal area where there is another pool, multipurpose court and 2 paddle courts. The villa is distributed as follows: Access floor: Kitchen with dining room and laundry room Courtesy toilet Living - Dining room with fireplace and access to the garden. Glazed porch type lumon, and nice views of the plot, pool, etc. 1st floor: 3 bedrooms sharing a full bathroom + master bedroom with large closet area and full bathroom suite type. 2nd floor: Fully conditioned, a large multipurpose room. Floor -1: Garage for two cars. SPA. In Jaime Valcarce Consulting Inmobiliario S. L. we commercialize this property EXCLUSIVELY. WE HAVE A WIDE RANGE OF EXCLUSIVE PROPERTIES THAT ARE NOT PUBLISHED IN REAL ESTATE PORTALS. VISIT OUR WEBSITE: ""JAIME VALCARCE.",sale,Cobeña,False,https://www.idealista.com/inmueble/103608450/,-3.5100029,False,45,nan,nan,False,103608450,Madrid,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",nan,False,40.5647615,{'title': 'Semi-detached house'},nan,nan,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Cobeña
False,chalet,False,True,317.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5d/43/26/1000660983.jpg,True,False,4,nan,635000.0,2003.0,nan,3,es,"THE HOME YOU ARE LOOKING FOR IS IN COBEÑA! Fantastic corner townhouse, built on four floors with high quality, central vacuum throughout the house, swimming pool and private garage, located in one of the best areas of Cobeña. As we enter the house through the porch, we find the hall that leads to the rooms on the main floor, a fully equipped kitchen, a bedroom with a built-in wardrobe, a bathroom with a shower, and a spacious and bright living room with fireplace and access to the garden. On the first floor we have the master bedroom, bathroom en suite with bathtub, built-in wardrobe and terrace with awning, it also has two other bedrooms with built-in wardrobes, one of them also with access to the terrace and a complete bathroom with a bathtub that provides service to the same. On the second floor is the 55m² open-plan loft, with four velux windows to make the most of it. Finally, we cannot forget the beautiful garden of 282m², part flooring and part with natural grass, wooden pergola, barbecue, swimming pool and with access to the basement where the garage for two vehicles is located, and a fantastic cellar with fireplace and Wine rack on the wall, where you can spend some magnificent moments in the company of our own. The town of Cobeña stands out for being a very quiet area to live, with all services within reach (Health Center, Supermarkets, Gyms, small shops.. . ) and is also well known for its great gastronomic offer. It has a very good location since it is communicated with accesses to the A-1 (Burgos), A-2 (Barcelona), M-50 and R-2. You also have access to the Madrid-Barajas Airport via the Belvis de Jarama road. It is located 9 km from San Sebastián de los Reyes, 11 km from Alcobendas, 3 km from Algete and Ajalvir, 15 km from Alcalá de Henares and 13 km from Torrejón de Ardoz. Do not miss the opportunity to come and see this fantastic house with an unbeatable location! CALL US, WE WILL BE DELIGHTED TO SHOW YOU.",sale,Cobeña,False,https://www.idealista.com/inmueble/95600785/,-3.5068543,False,79,nan,nan,False,95600785,Madrid,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",nan,False,40.5667413,{'title': 'Semi-detached house in Calle Olivo'},3981,nan,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Calle Olivo
True,chalet,False,True,215.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9e/f1/7f/1152984921.jpg,False,True,6,nan,439000.0,2042.0,nan,4,es,"FIRST LEVEL REAL ESTATE SELLS this corner semi-detached house, with its own pool. It is located in the North area of Madrid and within a good urbanization with common areas and a large community pool. The plot is 361 square meters, it has a good-sized consolidated garden with automated irrigation, its own pool surrounded by a custom wooden floor and a wooden porch with an installed sauna, from which you can access another community pool. The chalet is 215 meters; It consists of 3 floors and an additional basement with the following distribution: -MAIN FLOOR: It consists of a large independent living room with a built-in fireplace, an exceptional library, a good-sized kitchen and 1 toilet. In addition, it has a porch equipped with a sauna from which we have access to the garden, with access to the own pool and the community pool. -FIRST FLOOR: Equipped with 3 bedrooms, the main one with an en-suite bathroom, with access to a terrace and equipped with air conditioning, another 2 good-sized bedrooms, good lighting and a second bathroom, both bathrooms equipped with bathtubs. -SECOND FLOOR: Equipped with 3 bedrooms, one of them main with an en-suite bathroom and shower, the second with a dressing room and all 3 with built-in air conditioning. -BASEMENT FLOOR: It consists of a 60-meter garage suitable for several cars. It is an excellent opportunity to live in a magnificent environment surrounded by nature a few minutes from Madrid, in a Municipality that has all the services and a great quality of life. If you need financing, consult our mortgage conditions.",sale,Cobeña,False,https://www.idealista.com/inmueble/102356761/,-3.500621,False,79,nan,nan,False,102356761,Madrid,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",nan,False,40.5689201,{'title': 'Terraced house in Lirio'},23-039,nan,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",LIRIO
False,chalet,False,True,312.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6a/f8/d7/1148405436.jpg,False,True,5,nan,900000.0,2885.0,nan,3,es,"MAGNIFICENT VILLA IN COBEÑA! Located in the most select area of the population, ""Pilotos"" We present this spectacular property with three floors. Independent villa with a large plot of 1,200 m² for the use and enjoyment of all. An impressive and well-kept garden with natural grass awaits us, equipped with a private pool surrounded by imitation wood porcelain flooring, a barbecue and a variety of hundred-year-old trees, which will make us feel nature in its purest form. Also, a large area for vehicle parking. We access the house through the main floor. We are welcomed by a wonderful living room with a fireplace and large windows. The dining room, with direct access to the kitchen, equipped with everything you need, wall units, base units and basic appliances, open to all rooms, an original touch as well as comfortable. We cannot fail to mention and it is something that sets it apart from the rest, which also has a large bedroom on this floor and a full bathroom with a bathtub. Even room used as coworking today. From these rooms, we can access the back of the garden, a floor space, where we will find more privacy. In the upper one, four bedrooms, two, with fitted wardrobes. The main one, with access to a small balcony and another, to a terrace, which offers us impressive views of both the town and the city. Two full bathrooms, both with shower and window to the outside The attic, decorated with beautiful wooden beams, an open space isolated from the rest and with access to the solarium. Cobeña is very well connected to Madrid with several intercity bus lines. The main access road is the A-1 and also the M-50 ring road. It is located very close to La Moraleja, Las Tablas, the City of Telefónica and BBVA. It is a very quiet municipality next to a unique natural environment -La Dehesa de Cobeña- and with all the services at your fingertips: schools, parks, sports center, medical services and a large area of shops, shops and restaurants.. . incredible true? Do not miss this magnificent opportunity!",sale,Cobeña,False,https://www.idealista.com/inmueble/102213093/,-3.4999715,False,93,nan,nan,False,102213093,Madrid,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",nan,False,40.57278,{'title': 'Detached house in Calle Viñuelas'},3951,nan,good,nan,Calle Viñuelas
False,chalet,False,True,271.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3f/e2/fa/1069449041.jpg,False,True,4,nan,650000.0,2399.0,nan,3,es,"SEMI-DETACHED HOUSE IN THE PILOTS AREA OF COBEÑA! We present this impressive villa in the best area of the town. It consists of four floors distributed as follows On the main floor, a large 50 m² living room with fireplace and access to the beautiful wooden porch that the house has. The kitchen, as spacious as it is functional. From it, we will reach the basement. A bedroom, which is currently used as an office. And the toilet, which serves all the rooms. We continue to the upper one, by its original marble staircase. We find three bedrooms, all with fitted wardrobes. The main one, with an en-suite bathroom with a hydromassage bathtub, dressing room and living room, SOMETHING THAT MAKES IT DIFFERENT FROM THE REST!. Even exit to a large terrace. A complete bathroom with a shower tray for the rest of the rooms. We access the attic, currently conditioned as a bedroom since it is totally isolated from the rest. It also has a full bathroom with a bathtub and access to a terrace that shows us fantastic views. In the basement we find the large capacity garage, kitchenette, living room, pantry, woodshed, bathroom, storage room, toilet. In short, EVERYTHING YOU NEED AND DREAMED OF! And last but not least, on the 400 m² plot with automatic irrigation, a fabulous saline water pool awaits us, automatic awning, fans, piped music, barbecue and oven, water heater, lights, even a descent to the basement. Cobeña, is very well connected with Madrid, through a variety of intercity buses. The main access road is the A-1, with the M-50 ring road. Very close to La Moraleja, Las Tablas, Ciudad de Telefónica and BBVA. It is a very quiet municipality, with all the services at your fingertips, schools, doctors, a large area of shops and businesses. Is it really not what you were looking for?",sale,Cobeña,False,https://www.idealista.com/inmueble/100108967/,-3.5019662,False,91,nan,nan,False,100108967,Madrid,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",nan,False,40.5739199,{'title': 'Semi-detached house in Clavel'},4206,nan,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Clavel
False,chalet,False,True,190.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c7/a3/af/1168443502.jpg,False,True,4,nan,450000.0,2368.0,nan,3,es,"CORNER TOWNHOUSE IN COBEÑA! Beautiful recently renovated property in the center of the town, with the comfort that this entails. It consists of four floors distributed as follows: On the ground floor, a spacious and bright living room with access to the 33 m² terrace, covered and glazed, for use throughout the year. Entrance to the kitchen, perfectly equipped with high and low furniture and basic appliances. A toilet with an exterior window, which will serve these rooms. On the upper floor, three bedrooms, all with built-in wardrobes, and the main one, with an en-suite bathroom. In addition to another bathroom with a shower for the rest of the rooms. The attic, a space isolated from the rest, currently used as a multipurpose room, but you can use it as a bedroom, since it has its own bathroom, closets under the roof and access to a small terrace. In the basement, the garage, with capacity for one vehicle, with entrance through automatic doors. Not to mention, laundry area, industrial kitchen and exit again, to another beautiful porch lined with wood and windows with total opening. This one has a barbecue, oven, bar counter and countless amenities to discover. Cobeña is very well connected to Madrid with several intercity bus lines. The main access road is the A-1 and also the M-50 ring road. It is located very close to La Moraleja, Las Tablas, the City of Telefónica and BBVA. It is a very quiet municipality next to a unique natural environment -La Dehesa de Cobeña- and with all the services at your fingertips: schools, parks, sports center, medical services and a large area of shops, businesses and restaurants.. . ARE YOU GOING TO MISS IT? HURRY AND COME VISIT IT WITHOUT COMMITMENT!",sale,Cobeña,False,https://www.idealista.com/inmueble/102820838/,-3.5052596,False,83,nan,nan,False,102820838,Madrid,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",nan,False,40.5680721,{'title': 'Terraced house in Calle Arenal'},4364,nan,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Calle Arenal
False,chalet,False,True,242.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6f/f5/1a/1105684640.jpg,False,True,4,nan,320000.0,1322.0,nan,2,es,"SEMI-DETACHED VILLA IN COBEÑA! Located in a very quiet area of the town, we present this property distributed as follows On the main floor, we are welcomed by a practical built-in wardrobe. A spacious living room with a glass fireplace. A bright kitchen provided with everything you need and basic appliances. In addition to direct access to the garden, and a toilet that will serve the rooms on this floor. On the upper floor, three bedrooms with built-in wardrobes and a bathroom with a bathtub. We continue to the attic, currently used as the master bedroom. With a large dressing area and a large bathroom with a hydromassage bathtub, a shower tray with a screen and an exterior window. Already in the basement, a garage with capacity for cars and motorcycles with automatic door. Even a 24 m² storage room. Cobeña is very well connected to Madrid with several intercity bus lines. The main access road is the A-1 and also the M-50 ring road. It is located very close from La Moraleja, Las Tablas, the City of Telefónica and BBVA. It is a very quiet municipality next to a unique natural environment -La Dehesa de Cobeña- and with all the services at your fingertips: schools, parks, sports center, medical services and a large area of shops, businesses and restaurants.. . Don't think twice, this is your home and it is waiting for you. Call us!",sale,Cobeña,False,https://www.idealista.com/inmueble/100972963/,-3.5007475,False,59,nan,nan,False,100972963,Madrid,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",nan,False,40.5646858,{'title': 'Semi-detached house in Calle del Olivar'},4269,nan,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Calle del Olivar
False,chalet,False,True,290.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9c/9a/c7/1028320761.jpg,False,True,4,nan,670000.0,2310.0,nan,3,es,"SPECTACULAR INDEPENDENT VILLA IN THE PILOTS AREA! Located in the best and unbeatable area of Cobeña It consists of four floors distributed as follows In the main one, a large 31 m² dining room with a fireplace, very bright due to its large windows, and direct access to the garden with a Zen-like design and wooden porch. The kitchen, with an office area, provided with all kinds of details and decorated with impeccable taste. A toilet, which will serve these rooms On the upper floor, three bedrooms await us, all with fitted wardrobes. The main one, known as the jewel of the house, with an en-suite bathroom, dressing room and living room, giving a different touch to this room that we will never want to leave! The other two rooms, independent, but at the same time, with a sliding door, to unify the environments. It includes an exterior bathroom with a window and a shower tray. Already in the attic, open space of 50 m² with air conditioning and heat pump On the basement floor, perfectly equipped with a living room and an American-style kitchen, a bedroom and an exterior bathroom with a shower. In addition, large capacity garage, storage room and laundry room. Cobeña, is very well connected with Madrid, through a variety of intercity buses. The main access road is the A-1, with the M-50 ring road. Very close to La Moraleja, Las Tablas, Ciudad de Telefónica and BBVA. It is a very quiet municipality, with all the services at your fingertips, schools, doctors, a wide area of shops and businesses. Do you think you should let this opportunity pass you by?",sale,Cobeña,False,https://www.idealista.com/inmueble/98932388/,-3.4986034,False,84,nan,nan,False,98932388,Madrid,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",nan,False,40.574178,{'title': 'Detached house in Calle Clavel'},4201,nan,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Calle Clavel
True,chalet,False,True,261.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ed/1c/5f/1123836959.jpg,False,True,5,nan,499000.0,1912.0,nan,3,es,"iCS Inmobiliaria sells Villa in the Pilotos area in Cobeña. Opportunity for a Semi-Detached Villa in the best area of Cobeña. pilots area. The distribution is as follows: · Floor 0: Entrance hall with access to living room and kitchen. Large living room with fireplace and access to porch and back garden. · Floor -1: Central living room that gives access to 6 rooms. · Floor 1: 2 bedrooms joined by a common dressing room, full bathroom. Master suite with dressing room and full en-suite bathroom. · Attic floor: they come open plan, currently with a small room with closets and a bookstore/study area. Exterior: private car ramp with access to garage on floor -1. Access to home through front porch, access to side garden with covered side porch. and Back garden with covered porch. The house is located in a magnificent residential area. Surrounded by green areas. parks, basic services (daycare, schools, pharmacies... ) We help you with financing, construction budgets.. . Do not hesitate to visit without obligation.",sale,Cobeña,False,https://www.idealista.com/inmueble/101494283/,-3.5001489,False,64,nan,nan,False,101494283,Madrid,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",nan,False,40.571548,{'title': 'Semi-detached house in Callejón Begonia'},nan,nan,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Callejón Begonia
True,chalet,False,False,68.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/29/6a/61/1197129048.jpg,False,False,3,nan,150000.0,2206.0,nan,1,es,"TOWN HOUSE IN COBEÑA! We offer you the opportunity to rehabilitate this property and turn it into a wonderful home and, thanks to the location, it is a unique opportunity that you should not miss. Currently, with an area of 68 m², built on a 108 m² plot, it consists of three bedrooms, a bathroom with a bathtub, a living room with access to the garden and a kitchen outside the garden. Cobeña is very well connected to Madrid with several intercity bus lines. The main access road is the A-1 and also the M-50 ring road. It is located very close to La Moraleja, Las Tablas, the City of Telefónica and BBVA. It is a very quiet municipality next to a unique natural environment -La Dehesa de Cobeña- and with all the services at your fingertips: schools, parks, sports center, medical services and a large area of shops, businesses and restaurants.. . We wait for you!",sale,Cobeña,False,https://www.idealista.com/inmueble/103687923/,-3.5053662,False,52,nan,nan,False,103687923,Madrid,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",nan,False,40.5680234,{'title': 'Terraced house in Olivo'},4407,nan,renew,nan,Olivo
True,chalet,False,True,160.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f6/99/bb/1186814284.jpg,False,True,4,nan,353900.0,2212.0,nan,3,es,"ICS INMOBILIARIA OFFERS AN EXCLUSIVE WONDERFUL TOWNHOUSE IN THE IDYLLIC TOWN OF COBEÑA. We are pleased to present this beautiful townhouse that has three floors and three bedrooms. In addition, it has a loft that can be used as an additional room or as storage space. The chalet also has two full bathrooms and a toilet. At the back of the house, there is a garden that is perfect for enjoying the outdoors and relaxing. There is also a front porch used with parking area for one car. This semi-detached house is a unique opportunity for those looking for a spacious and comfortable house. The property is located in a privileged location, surrounded by nature and with easy access to the main communication routes. Upon entering the house, you will find a hall that gives access to the main floor. On this floor, you will find a spacious living-dining room with a large window that allows natural light and access to the garden. The kitchen is independent and fully furnished with access to another multipurpose room which gives access to the laundry area and the garden. There is also a toilet on this floor. On the first floor, you will find the three bedrooms, with built-in wardrobes. The master bedroom has an en-suite bathroom. There is also another full bathroom on this floor. The attic is an open space that can be used as an additional room or as a storage space. The back garden is a perfect space to enjoy the outdoors and relax. There is also a front porch with a storage room and a parking area for one car. Don't miss the opportunity to live in this dream semi-detached house. If you are interested, please do not hesitate to contact us for more information. We can't wait to hear from you! WE DO NOT CHARGE PURCHASE COMMISSION WE HAVE OUR OWN REFORM COMPANY.",sale,Cobeña,False,https://www.idealista.com/inmueble/103352388/,-3.5075456,False,48,nan,nan,False,103352388,Madrid,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",nan,False,40.5696229,{'title': 'Terraced house in Travesía del Olivo'},nan,nan,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Travesía del Olivo
False,flat,False,True,47.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9b/46/9a/1180014075.jpg,False,False,1,True,130000.0,2766.0,nan,1,es,"GROUND FLOOR IN COBEÑA! Housing with double access, one of them, at street level without steps, and another, with entrance from the community patio through the kitchen It consists of a spacious and bright living room with a practical two-piece built-in wardrobe. Double bedroom with spacious built-in wardrobe Kitchen provided with wall and base furniture and basic appliances and door with access to the common area, A full bathroom with bathtub and window. It has a large garage space included in the price. Cobeña is very well connected to Madrid with several intercity bus lines. The main access road is the A-1 and also the M-50 ring road. It is located very close to La Moraleja, Las Tablas, the City of Telefónica and BBVA. It is a very quiet municipality next to a unique natural environment -La Dehesa de Cobeña- and with all the services at your fingertips: schools, parks, sports center, medical services and a large area of shops, businesses and restaurants.. . Do not miss this opportunity!",sale,Cobeña,False,https://www.idealista.com/inmueble/103153715/,-3.5082764,False,41,bj,False,False,103153715,Madrid,{'typology': 'flat'},nan,False,40.5633817,{'title': 'Flat in Calle Conquistadores'},1572,nan,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Calle Conquistadores
False,flat,False,True,90.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1f/75/d3/1125522029.jpg,False,False,3,True,260000.0,2889.0,nan,1,es,"APARTMENT FOR SALE IN COBEÑA! Beautiful apartment in the urban area of the town! Renovated in its entirety, with top quality materials. Insulated and soundproof walls, air conditioning with heat pump channeled throughout the house, windows with double air chambers, double glazing and mosquito nets. It consists of a spacious living room with access to a terrace with an aluminum storage cupboard and shutter closure. The kitchen, divided into two rooms, has everything you need, high and low furniture and basic appliances. Three large bedrooms, all of them very bright. A bathroom, with bathtub and exterior window. The property has a numbered outdoor parking space, and the possibility of parking a second vehicle in the fenced property itself. Cobeña is very well connected to Madrid with several intercity bus lines. The main access road is the A-1 and also the M-50 ring road. It is located very close to La Moraleja, Las Tablas, the City of Telefónica and BBVA. It is a very quiet municipality next to a unique natural environment -La Dehesa de Cobeña- and with all the services at your fingertips: schools, parks, sports center, medical services and a large area of shops, businesses and restaurants.. . Come see it, you will be surprised!",sale,Cobeña,False,https://www.idealista.com/inmueble/101541969/,-3.5036522,False,55,2,True,False,101541969,Madrid,{'typology': 'flat'},nan,False,40.5674207,{'title': 'Flat in Avenida Guadalajara'},4293,nan,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Avenida Guadalajara
False,chalet,False,False,307.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/53/4e/7a/1129816888.jpg,False,False,5,nan,400000.0,1303.0,nan,2,es,"REDPISO sells a large country house with a 14,000 m2 plot special for outdoor businesses such as horse riding, agricultural or livestock exploitation, multi-adventure, dog residence, etc. The farm is located in the middle of nature, completely fenced around its perimeter, with a large access door, it has a well for water and a generator for electricity, solar panels can be installed for self-consumption.It has very good access by local road and is located 1.5 kilometers from the town of Cobeña. The house is distributed over two floors, with an area of ​​160 square meters each, the street floor is intended for housing and has a living room with fireplace, separate kitchen, five bedrooms and two full bathrooms. The first floor under cover is diaphanous. The setting is idyllic, with privileged views, surrounded by all kinds of trees and areas for walking.It is an ideal place for relaxation and a quiet life, with all the services nearby and in the middle of beautiful landscapes.Ideal for a change of life and starting new projects, the farm offers many possibilities. Cobeña has very good communication with Madrid, it has several intercity bus lines.It is very close to the M-50, A-2, A-1, and only 30 minutes from Madrid by car.The municipality is very quiet and has all kinds of services, schools, health center, sports centers, shops, supermarkets, restaurants... DO NOT MISS THE OPPORTUNITY TO VISIT.",sale,Cobeña,False,https://www.idealista.com/inmueble/101669198/,-3.5047455,False,16,nan,nan,False,101669198,Madrid,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",nan,False,40.5677227,{'title': 'Detached house'},RP2662023115055,nan,renew,nan,Cobeña
False,chalet,False,False,279.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c9/a5/66/1186134638.jpg,False,False,7,nan,532200.0,1908.0,nan,3,es,"  In the quiet town of Cobeña, you will find this exceptional house for sale, which will undoubtedly become the home of your dreams. With 5 bedrooms, 3 bathrooms, a large living room and a large attic, this home has enough space to accommodate your family comfortably and allow you to enjoy a full life. With a useful area of 237 meters and a construction of 279 meters, this house has everything you need to live spaciously and comfortably. Built in 1993, the building has been carefully designed and is in perfect condition, guaranteeing the quality and general good condition of the property. One of the most notable aspects of this home is its basement, where the garage, boiler room, and 2 more rooms are located to use as you wish.   In addition, it has a large garden area, ideal for enjoying relaxing moments outdoors and organizing meetings with family and friends. A true luxury of this house is its private pool, where you can cool off on hot summer days and enjoy moments of leisure and fun with your loved ones. Without a doubt, a feature that makes the difference and turns this property into a true paradise. In addition, the house is located in a privileged location, with bus stops nearby that will facilitate your travel and allow you to reach your destination quickly and easily. If you are looking for a spacious home, well located and with all the comforts, you cannot miss the opportunity to visit this house in Cobeña. Its formal and elegant style will captivate you from the first moment, and its well-distributed spaces will make you feel that you have found your place in the world. The meters of the house are contrasted according to cadastre/registry. This announcement is not binding and may contain errors. It is shown for informational purposes and is not contractual. The sales prices do not include legal taxes or deed expenses.  .",sale,Cobeña,False,https://www.idealista.com/inmueble/103331616/,-3.5074881,False,82,nan,nan,False,103331616,Madrid,{'typology': 'chalet'},nan,False,40.5652279,{'title': 'House'},EG5902,nan,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Cobeña
