has360,propertyType,topNewDevelopment,hasPlan,size,thumbnail,has3DTour,hasVideo,rooms,exterior,price,priceByArea,bathrooms,country,description,operation,municipality,topPlus,url,longitude,showAddress,numPhotos,floor,hasLift,hasStaging,propertyCode,province,detailedType,newDevelopment,latitude,suggestedTexts,externalReference,status,parkingSpace,address
False,countryHouse,False,True,254.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d0/f4/e6/1149692507.jpg,False,True,4,nan,75000.0,295.0,1,es,"House of 254 m2, 4 bedrooms with patio and attic 45 minutes from Madrid Capital. - Excellent m2 price within the Community of Madrid: €296/m2 - 45 minutes from Madrid Capital - Large patio and storage area in it - House with great possibilities - Very luminous - 4 bedrooms - Good size loft with 3 sections - Oversized bathroom with window - Discharged supplies - House ready to move into if desired - Possibility of business with a rental return of more than 10% renting the house for €500-550, which is feasible. Being a house does not pay community fees. - The roof of the house is in good condition Large town house of 254 m2 in the center of Estremera. It has 4 rooms and a large patio. BUYERS PROFILE Think that with what a local that is a hovel costs you in Madrid Capital and taking into account that you still have to make all the investment of the reform, project of change of use and taxes, this is a great option for those people who work in the capital and want to access their first home at an acceptable cost. It is advisable to have a car to go to Madrid, or leave it in Arganda (it is about 30 minutes away) and take the metro from there. It is also ideal for those people who want to have a second home and disconnect without having to break the bank. Another ideal profile is for investors who want to obtain a high return on investment. The house can be rented for 500 or 600 euros. Due to the high demand in the Community of Madrid, renting this property is relatively easy. In addition, there is also a demand that comes from the officials of the Estremera prison who are looking for rent in the area. If you need it, WE GET YOU THE MORTGAGE. HOUSE LAYOUT 0. GROUND FLOOR On the ground floor we have a hall that leads us to the boiler room that is in the basement, on the left is the door that leads to the living room (with a window to the street) and 2 large rooms with double beds (both with window to the patio). From the hall in front we have the living room, the kitchen and the entrance to the patio. The kitchen is equipped 1. FIRST FLOOR On the first floor we have 2 rooms. One of them faces the street and the other to the patio of the house. From there we access the attic. 2. ATTIC The attic is currently used as storage space. It has 3 rooms and each of them has a window. One of them faces the street and the other two to the patio. The roof is in good condition. ABOUT THE MUNICIPALITY OF ESTREMERA Estremera is a quiet municipality, well connected to the capital through the Valencia highway, which is a highway. It has everything you need for day to day: supermarket, shop, school, doctor's office, senior center, bazaar, butcher shop, bank, several bars, sports facilities, pharmacy, tobacconist, veterinary clinic, dental clinic and also a shopping area. recreation and relaxation on the outskirts next to the Tagus river ideal for summer. Important: fees are included in the advertised price.",sale,Estremera,False,https://www.idealista.com/inmueble/102241863/,-3.1056452,True,54,nan,nan,False,102241863,Madrid,"{'typology': 'countryHouse', 'subTypology': 'casaDePueblo'}",False,40.1833641,"{'title': 'Village house in Morillas, 9'}",Estremera casa con patio - A 45 minutos de Madrid Capital,good,nan,"Morillas, 9"
False,countryHouse,False,True,177.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/27/5e/2a/1133362106.jpg,False,True,5,nan,46000.0,260.0,1,es,"VISITS: Click on the link below in the advertisement to send me a WhatsApp UNREPEATABLE OPPORTUNITY 45 MINUTES FROM MADRID  - Unbeatable m2 price within the Community of Madrid: €277/m2  - 45 minutes from Madrid Capital  - House with great possibilities  - Very luminous  - 5 bedrooms and 3 of them with high ceilings  - Large balcony  - Large bathroom with window  - Supplies discharged  - House ready to move into if desired  - Possibility of business with a rental profitability of more than 10% renting the home for €500-550, which is feasible. As it is a house, it does not pay community fees.  - The roof of the house is in good condition Large town house of 177 m2 in the center of Estremera. It has 5 bedrooms and a large bathroom. The second floor is attic and has great possibilities (We would have to see if it is feasible to uncover part of the roof to see if a terrace can be removed). BUYER PROFILE Think that with what a place that is a hovel in Madrid Capital costs you and taking into account that you still have to make all the investment for the renovation, change of use project and fees, this is a great option for those people who work in the capital and want to access their first home at an acceptable cost. It is advisable to have a car to go to Madrid, or leave it in Arganda (It is about 30 minutes away) and take the metro from there. It is also ideal for those people who want to have a second home and disconnect without having to break the bank. Another ideal profile is for investors who want to obtain a high return on investment. The house can be rented for 500 or 550 euros, which means that it far exceeds 10% profitability. Due to the high demand in the Community of Madrid, renting this property is relatively simple. In addition, there is also a demand that comes from Estremera prison officials who are looking for rent in the area. If you need it, WE WILL GET YOU THE MORTGAGE. HOUSE LAYOUT  0. GROUND FLOOR On the ground floor we have a hall that leads us to the living room and the kitchen. From the kitchen we can access the caves of the house, which is quite common in the area, and the bathroom. Both the kitchen and the bathroom are exterior. The bathroom is very spacious, bright and with a bathtub. The living room is a good size and from it we access a blind room.  1. FIRST FLOOR On the first floor we have 4 very bright and completely exterior rooms. 2 of them have a large window with access to the balcony, perfect to enjoy in good weather. 3 of the four rooms are connected and do not have individual access, which was the way of building in the past, but there would be the possibility of individualizing the access by building a distributor hallway.  2. ATTIC The attic is currently used as storage space. If the buyer wishes, he or she can have many uses for said space apart from storage: for artistic work, a studio, and even a terrace with the appropriate investment. ABOUT THE MUNICIPALITY OF ESTREMERA Estremera is a quiet municipality, well connected to the capital through the Valencia highway, which is a highway. It has everything you need for everyday life: supermarket, store, school, doctor's office, senior center, bazaar, butcher shop, bank, several bars, sports facilities, pharmacy, tobacconist, veterinary clinic, dental clinic and also a parking area. recreation and recreation on the outskirts next to the Tagus River, ideal for the summer. Important: fees are included in the advertised price.",sale,Estremera,False,https://www.idealista.com/inmueble/101730676/,-3.1064277,False,76,nan,nan,False,101730676,Madrid,"{'typology': 'countryHouse', 'subTypology': 'casaDePueblo'}",False,40.1849016,{'title': 'Village house in Cerrajeros'},Casa 3 plantas Cerrajeros,good,nan,Cerrajeros
False,chalet,False,False,493.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ca/08/95/1193563399.jpg,False,False,5,nan,165500.0,336.0,4,es,"Mercaser Real Estate Group.Housing for sale, 3-story semi-detached house that has 5 bedrooms, 3 bathrooms and a patio.In a residential area with a community pool.Located near the municipality's Town Hall, next to the center and the main communication routes. Writing expenses and taxes not included. We do not charge fees to the buyer. Estremera is a municipality that is part of the Las Vegas Region, being the easternmost municipality of the Community of Madrid.As a place of interest, highlight the Church of Los Remedios. Sociodemographics Inhabitants: 1,319Number of households: 967Average age of people: 43 years% foreigners: 24%Average level of education: Secondary.",sale,Estremera,False,https://www.idealista.com/inmueble/103366774/,-3.1114137,False,28,nan,nan,False,103366774,Madrid,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",False,40.184267,{'title': 'Terraced house'},60464973,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Estremera
False,chalet,False,False,493.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ef/73/ab/1044630815.jpg,False,False,5,nan,165600.0,336.0,4,es,"Semi-detached house with 3 floors that has 5 bedrooms, 3 bathrooms and a patio. In a residential with community pool. Located near the Town Hall of the municipality, next to the center and the main communication routes.",sale,Estremera,False,https://www.idealista.com/inmueble/98170751/,-3.1095645,True,29,nan,nan,True,98170751,Madrid,{'typology': 'chalet'},False,40.1850836,"{'title': 'House in Calle Don Manuel Martínez Aedo, 39'}",60464973,renew,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}","Calle Don Manuel Martínez Aedo, 39"
False,chalet,False,False,543.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/2e/98/e3/1202305114.jpg,False,False,7,nan,165600.0,305.0,4,es,"SegundoB Real Estate sells this 3-story semi-detached house in Estremera, Madrid. The ground floor has a living room with fireplace, kitchen with terrace, living room with access to the side patio, 5 bedrooms and 3 bathrooms. On the 1st floor there is a kind of living room, 2 bedrooms and a terrace. Basement floor, the entire garage and two small rooms, the garage has two doors, one of which leads to the backyard where there is a swimming pool. In a residential area with a community pool. Located near the municipality's Town Hall, next to the center and the main communication routes. Estremera is a Spanish municipality in the province and Community of Madrid, located in the so-called Comarca de Las Vegas and in the historical or traditional region of Alcarria de Chinchón. It has an area of 79.1 km² with a population of 1,261 inhabitants and a density of 15.94 inhabitants. It is the easternmost municipality of the Community of Madrid, bordering Castilla-La Mancha. Find out without compromise.",sale,Estremera,False,https://www.idealista.com/inmueble/100708144/,-3.1045402,False,97,nan,nan,False,100708144,Madrid,{'typology': 'chalet'},False,40.1823633,{'title': 'House'},XE60464973,good,nan,Estremera
False,flat,False,False,80.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e0/e6/1d/1179871304.jpg,False,False,3,True,69000.0,863.0,1,es,"Housing located in the town of Estremera, Madrid. Apartment perfectly distributed in different rooms and services. Municipality that has all the basic services at its fingertips, with a commercial offer (large surfaces and necessary neighborhood stores) and an educational offer, a variety of restaurant services and valued green areas in which to carry out outdoor activities. Housing for those who want to live in a quiet area very well connected and for those who seek to invest for rent with a very good profitability. All this, in addition, with excellent communications by public transport (bus) and roads.",sale,Estremera,False,https://www.idealista.com/inmueble/103149674/,-3.1084966,True,17,2,False,False,103149674,Madrid,{'typology': 'flat'},False,40.1819409,"{'title': 'Flat in Calle de la Paz, 5'}",PAZ,good,nan,"Calle de la Paz, 5"
False,countryHouse,False,False,265.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/18/7d/e5/1094991252.jpg,False,False,4,nan,130000.0,491.0,1,es,"Single-family semi-detached house of approximately 116 m² located in a neighborhood with similar houses with similar characteristics, located in the town of Estremera, province of Madrid. It is located near the center of the municipality where it has good communication, surrounded by similar homes and green areas, reach of all services, such as school equipment, sports, shops of different kinds, health center, recreational center, commercial establishment, among others. It is well connected with several bus and taxi lines in its vicinity, its connection with the rest of the municipality is good and it is close to the main roads. It is distributed over two floors that include a large kitchen, two large bathrooms, a living-dining room with a large window that provides a lot of light, a balcony and four bedrooms with large windows that provide a lot of light to all rooms. It has a terrace and a porch in the front. In its basement it has a garage and a large storage room connected by internal stairs of the house.",sale,Estremera,False,https://www.idealista.com/inmueble/96558818/,-3.1069466,False,23,nan,nan,False,96558818,Madrid,"{'typology': 'countryHouse', 'subTypology': 'countryHouse'}",False,40.1831368,{'title': 'Estate in Calle del Santo'},7043671-VE,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Calle del Santo
False,chalet,False,False,543.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/78/c8/40/1080775810.jpg,False,False,5,nan,165600.0,305.0,4,es,"Grupo Rein puts at your disposal this 3-story semi-detached house that has 5 bedrooms, 3 bathrooms and a patio. In a residential area with a community pool. Located near the municipality's Town Hall, next to the center and the main communication routes. For more information at or.",sale,Estremera,False,https://www.idealista.com/inmueble/94712227/,-3.1095645,True,18,nan,nan,False,94712227,Madrid,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",False,40.1850836,"{'title': 'Detached house in Calle Don Manuel Martínez Aedo, 39'}",10060464973,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}","Calle Don Manuel Martínez Aedo, 39"
False,flat,False,False,83.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4a/42/e0/1103808840.jpg,False,False,3,nan,69000.0,831.0,2,es,"SegundoB Real Estate sells an apartment in this building in Estremera, Madrid. It has 3 bedrooms, a bathroom with bathtub, hall, kitchen with closed terrace, pantry and living room with outdoor terrace. Estremera is a Spanish municipality in the province and Community of Madrid, located in the so-called Comarca de Las Vegas and in the historical or traditional region of Alcarria de Chinchón. It has an area of 79.1 km² with a population of 1,261 inhabitants and a density of 15.94 inhabitants. It is the easternmost municipality of the Community of Madrid, bordering Castilla-La Mancha. Find out without compromise.",sale,Estremera,False,https://www.idealista.com/inmueble/100919354/,-3.1077203,False,32,2,nan,False,100919354,Madrid,{'typology': 'flat'},False,40.1827495,{'title': 'Flat'},XE60748914,good,nan,Estremera
False,chalet,False,False,520.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/84/98/44/176400607.jpg,False,False,5,nan,165600.0,318.0,3,es,"BANK-NEGOTIABLE-FINANCING OPPORTUNITY 520m2 independent house built on 3 floors, has 5 bedrooms and 3 bathrooms on a 320m2 plot. 473 m2 useful housing, own pool. Get informed",sale,Estremera,False,https://www.idealista.com/inmueble/35192790/,-3.1095395,True,20,nan,nan,False,35192790,Madrid,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",False,40.1850957,"{'title': 'Detached house in Calle Don Manuel Martinez-aedo, 39'}",c28595-01,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}","Calle DON MANUEL MARTINEZ-AEDO, 39"
False,flat,False,False,80.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b6/37/77/1129081655.jpg,False,False,3,nan,69000.0,863.0,1,es,"Housing located in the town of Estremera, Madrid. Apartment perfectly distributed in different rooms and services. Municipality that has all the basic services at its fingertips, with a commercial offer (large surfaces and necessary neighborhood stores) and an educational offer, a variety of restaurant services and valued green areas in which to carry out outdoor activities. Housing for those who want to live in a quiet area very well connected and for those who seek to invest for rent with a very good profitability. All this, in addition, with excellent communications by public transport (bus) and roads. Request more information without any kind of commitment.",sale,Estremera,False,https://www.idealista.com/inmueble/100487204/,-3.1085502,True,17,2,False,False,100487204,Madrid,{'typology': 'flat'},False,40.1820557,"{'title': 'Flat in Calle de la Paz, 5'}",60748914,renew,nan,"Calle de la Paz, 5"
False,chalet,False,False,180.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f1/5d/a0/1184517454.jpg,False,False,5,nan,49000.0,272.0,2,es,"UNREPEATABLE OPPORTUNITY 45 MINUTES FROM MADRID - Unbeatable m2 price within the Community of Madrid: €277/m2 - 45 minutes from Madrid Capital - House with great possibilities - Very luminous - 5 Huge bedrooms - Large balcony - Large bathroom with window - Supplies discharged - House ready to move into if desired - Possibility of business with a rental profitability greater than 10% renting the home for €550 or more, which is feasible.As it is a house, it does not pay community fees. - The roof of the house is in good condition Large town house of 177 m2 in the center of Estremera.It has 5 bedrooms and a large bathroom with the possibility of enabling another.The second floor is attic and has great possibilities. BUYER PROFILE Think that with what a place that is a hovel in Madrid Capital costs you and taking into account that you still have to make all the investment for the renovation, change of use project and fees, this is a great option for those people who work in the capital and want to access their first home at an acceptable cost.It is advisable to have a car to go to Madrid, or leave it in Arganda (It is about 30 minutes away) and take the metro from there. You also have the possibility of going by bus from Conde Casal or Atocha station. It is also ideal for those people who want to have a second home and disconnect without having to break the bank. Another ideal profile is for investors who want to obtain a high return on investment.The house can be rented for 550 euros or more, which means that it far exceeds 10% profitability.Due to the high demand in the Community of Madrid, renting this property is relatively simple.In addition, there is also a demand that comes from the officials of the Estremera prison who are looking for rent in the area. If you need it, WE WILL GET YOU THE MORTGAGE. HOUSE LAYOUT 0.LOW LEVEL On the ground floor we have a hall that leads us to the living room and the kitchen.From the kitchen we can access the cave of the house, which is quite common in the area, and the bathroom.Both the kitchen and the bathroom are exterior.The bathroom is very spacious, bright and with a bathtub.The living room is a good size and from it we access a bedroom. 1.FIRST FLOOR On the first floor we have 4 very bright and completely exterior rooms.2 of them have a large window with access to the balcony, perfect to enjoy in good weather. two.ATTIC The attic is currently used as storage space.If the buyer wishes, he or she can have many uses for said space apart from storage: for artistic work, a studio, and even a terrace with the appropriate investment. ABOUT THE MUNICIPALITY OF ESTREMERA Estremera is a quiet municipality, well connected to the capital through the Valencia highway, which is a highway.It has everything you need for everyday life: supermarket, store, school, doctor's office, senior center, bazaar, butcher shop, bank, several bars, sports facilities, pharmacy, tobacconist, veterinary clinic, dental clinic and also a parking area. recreation and recreation on the outskirts next to the Tagus River, ideal for the summer. Important: fees are included in the advertised price. BETTER TO SEE.",sale,Estremera,False,https://www.idealista.com/inmueble/103286000/,-3.1061941,False,8,nan,nan,False,103286000,Madrid,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",False,40.1823348,{'title': 'Terraced house in cerrajeros'},ESTREMERA,good,nan,cerrajeros
False,chalet,False,False,102.0,nan,False,True,3,nan,35000.0,343.0,1,es,"This country house is at CALLE MATADERO, 28595, Estremera, Madrid. It is a country house that has 102 m2 of which 95 m2 are useful and has 3 rooms and 1 bathrooms. Find more.",sale,Estremera,False,https://www.idealista.com/inmueble/100749642/,-3.1045607,False,0,nan,nan,False,100749642,Madrid,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",False,40.1859597,{'title': 'Detached house in Calle del Matadero'},CASA22/20,renew,nan,Calle del Matadero
